"","Items","quantity","price","total","y"
"175","MilanPMirror",1,5.7,5.7,2019-01-09
"176","LoofahPack",1,29.4,29.4,2019-01-09
"177","Package2",2,34.8,69.6,2019-01-09
"178","Package3",4,34.9,139.6,2019-01-09
"179","Package4",3,24.9,74.7,2019-01-09
"180","Package5",4,24.8,99.2,2019-01-09
"181","DriedBoquet1",1,49.5,49.5,2019-01-10
"182","DriedBoquet2",3,41,123,2019-01-10
"183","EucalyptSmudge",5,15.6,78,2019-01-10
"184","SageSmudge",1,16.3,16.3,2019-01-10
"185","RosePotpourri",1,12,12,2019-01-10
"186","CDiskBamboo",4,29,116,2019-01-10
"187","CDiskCoconut",3,26.9,80.7,2019-01-10
"188","SmudgeBundle",4,53.3,213.2,2019-01-10
"189","LoofahPack",5,12.1,60.5,2019-01-10
"190","Package1",1,52.7,52.7,2019-01-10
"191","BeeswaxCandle",1,27.2,27.2,2019-01-10
"192","PackTeaCandles",2,8,16,2019-01-10
"193","DreamPouch",2,18.8,37.6,2019-01-10
"194","ParisPMirror",3,6.6,19.8,2019-01-10
"195","MilanPMirror",1,5.7,5.7,2019-01-10
"196","LoofahPack",1,29.4,29.4,2019-01-10
"197","Package2",2,34.8,69.6,2019-01-10
"198","Package3",4,34.9,139.6,2019-01-10
"199","Package4",3,24.9,74.7,2019-01-10
"200","Package5",4,24.8,99.2,2019-01-10
"201","DriedBoquet1",1,49.5,49.5,2019-01-11
"202","DriedBoquet2",3,41,123,2019-01-11
"203","EucalyptSmudge",5,15.6,78,2019-01-11
"204","SageSmudge",1,16.3,16.3,2019-01-11
"205","RosePotpourri",1,12,12,2019-01-11
"206","CDiskBamboo",4,29,116,2019-01-11
"207","CDiskCoconut",3,26.9,80.7,2019-01-11
"208","SmudgeBundle",4,53.3,213.2,2019-01-11
"209","LoofahPack",5,12.1,60.5,2019-01-11
"210","Package1",1,52.7,52.7,2019-01-11
"211","BeeswaxCandle",1,27.2,27.2,2019-01-11
"212","PackTeaCandles",2,8,16,2019-01-11
"213","DreamPouch",2,18.8,37.6,2019-01-11
"214","ParisPMirror",3,6.6,19.8,2019-01-11
"215","MilanPMirror",1,5.7,5.7,2019-01-11
"216","LoofahPack",1,29.4,29.4,2019-01-11
"217","Package2",2,34.8,69.6,2019-01-11
"218","Package3",4,34.9,139.6,2019-01-11
"219","Package4",3,24.9,74.7,2019-01-11
"220","Package5",4,24.8,99.2,2019-01-11
"221","DriedBoquet1",1,49.5,49.5,2019-01-12
"222","DriedBoquet2",3,41,123,2019-01-12
"223","EucalyptSmudge",5,15.6,78,2019-01-12
"224","SageSmudge",1,16.3,16.3,2019-01-12
"225","RosePotpourri",1,12,12,2019-01-12
"226","CDiskBamboo",4,29,116,2019-01-12
"227","CDiskCoconut",3,26.9,80.7,2019-01-12
"228","SmudgeBundle",4,53.3,213.2,2019-01-12
"229","LoofahPack",5,12.1,60.5,2019-01-12
"230","Package1",1,52.7,52.7,2019-01-12
"231","BeeswaxCandle",1,27.2,27.2,2019-01-12
"232","PackTeaCandles",2,8,16,2019-01-12
"233","DreamPouch",2,18.8,37.6,2019-01-12
"234","ParisPMirror",3,6.6,19.8,2019-01-12
"235","MilanPMirror",1,5.7,5.7,2019-01-12
"236","LoofahPack",1,29.4,29.4,2019-01-12
"237","Package2",2,34.8,69.6,2019-01-12
"238","Package3",4,34.9,139.6,2019-01-12
"239","Package4",3,24.9,74.7,2019-01-12
"240","Package5",4,24.8,99.2,2019-01-12
"241","DriedBoquet1",1,49.5,49.5,2019-01-13
"242","DriedBoquet2",3,41,123,2019-01-13
"243","EucalyptSmudge",5,15.6,78,2019-01-13
"244","SageSmudge",1,16.3,16.3,2019-01-13
"245","RosePotpourri",1,12,12,2019-01-13
"246","CDiskBamboo",4,29,116,2019-01-13
"247","CDiskCoconut",3,26.9,80.7,2019-01-13
"248","SmudgeBundle",4,53.3,213.2,2019-01-13
"249","LoofahPack",5,12.1,60.5,2019-01-13
"250","Package1",1,52.7,52.7,2019-01-13
"251","BeeswaxCandle",1,27.2,27.2,2019-01-13
"252","PackTeaCandles",2,8,16,2019-01-13
"253","DreamPouch",2,18.8,37.6,2019-01-13
"254","ParisPMirror",3,6.6,19.8,2019-01-13
"255","MilanPMirror",1,5.7,5.7,2019-01-13
"256","LoofahPack",1,29.4,29.4,2019-01-13
"257","Package2",2,34.8,69.6,2019-01-13
"258","Package3",4,34.9,139.6,2019-01-13
"259","Package4",3,24.9,74.7,2019-01-13
"260","Package5",4,24.8,99.2,2019-01-13
"261","DriedBoquet1",1,49.5,49.5,2019-01-14
"262","DriedBoquet2",3,41,123,2019-01-14
"263","EucalyptSmudge",5,15.6,78,2019-01-14
"264","SageSmudge",1,16.3,16.3,2019-01-14
"265","RosePotpourri",1,12,12,2019-01-14
"266","CDiskBamboo",4,29,116,2019-01-14
"267","CDiskCoconut",3,26.9,80.7,2019-01-14
"268","SmudgeBundle",4,53.3,213.2,2019-01-14
"269","LoofahPack",5,12.1,60.5,2019-01-14
"270","Package1",1,52.7,52.7,2019-01-14
"271","BeeswaxCandle",1,27.2,27.2,2019-01-14
"272","PackTeaCandles",2,8,16,2019-01-14
"273","DreamPouch",2,18.8,37.6,2019-01-14
"274","ParisPMirror",3,6.6,19.8,2019-01-14
"275","MilanPMirror",1,5.7,5.7,2019-01-14
"276","LoofahPack",1,29.4,29.4,2019-01-14
"277","Package2",2,34.8,69.6,2019-01-14
"278","Package3",4,34.9,139.6,2019-01-14
"279","Package4",3,24.9,74.7,2019-01-14
"280","Package5",4,24.8,99.2,2019-01-14
"281","DriedBoquet1",1,49.5,49.5,2019-01-15
"282","DriedBoquet2",3,41,123,2019-01-15
"283","EucalyptSmudge",5,15.6,78,2019-01-15
"284","SageSmudge",1,16.3,16.3,2019-01-15
"285","RosePotpourri",1,12,12,2019-01-15
"286","CDiskBamboo",4,29,116,2019-01-15
"287","CDiskCoconut",3,26.9,80.7,2019-01-15
"288","SmudgeBundle",4,53.3,213.2,2019-01-15
"289","LoofahPack",5,12.1,60.5,2019-01-15
"290","Package1",1,52.7,52.7,2019-01-15
"291","BeeswaxCandle",1,27.2,27.2,2019-01-15
"292","PackTeaCandles",2,8,16,2019-01-15
"293","DreamPouch",2,18.8,37.6,2019-01-15
"294","ParisPMirror",3,6.6,19.8,2019-01-15
"295","MilanPMirror",1,5.7,5.7,2019-01-15
"296","LoofahPack",1,29.4,29.4,2019-01-15
"297","Package2",2,34.8,69.6,2019-01-15
"298","Package3",4,34.9,139.6,2019-01-15
"299","Package4",3,24.9,74.7,2019-01-15
"300","Package5",4,24.8,99.2,2019-01-15
"301","DriedBoquet1",1,49.5,49.5,2019-01-16
"302","DriedBoquet2",3,41,123,2019-01-16
"303","EucalyptSmudge",5,15.6,78,2019-01-16
"304","SageSmudge",1,16.3,16.3,2019-01-16
"305","RosePotpourri",1,12,12,2019-01-16
"306","CDiskBamboo",4,29,116,2019-01-16
"307","CDiskCoconut",3,26.9,80.7,2019-01-16
"308","SmudgeBundle",4,53.3,213.2,2019-01-16
"309","LoofahPack",5,12.1,60.5,2019-01-16
"310","Package1",1,52.7,52.7,2019-01-16
"311","BeeswaxCandle",1,27.2,27.2,2019-01-16
"312","PackTeaCandles",2,8,16,2019-01-16
"313","DreamPouch",2,18.8,37.6,2019-01-16
"314","ParisPMirror",3,6.6,19.8,2019-01-16
"315","MilanPMirror",1,5.7,5.7,2019-01-16
"316","LoofahPack",1,29.4,29.4,2019-01-16
"317","Package2",2,34.8,69.6,2019-01-16
"318","Package3",4,34.9,139.6,2019-01-16
"319","Package4",3,24.9,74.7,2019-01-16
"320","Package5",4,24.8,99.2,2019-01-16
"321","DriedBoquet1",1,49.5,49.5,2019-01-17
"322","DriedBoquet2",3,41,123,2019-01-17
"323","EucalyptSmudge",5,15.6,78,2019-01-17
"324","SageSmudge",1,16.3,16.3,2019-01-17
"325","RosePotpourri",1,12,12,2019-01-17
"326","CDiskBamboo",4,29,116,2019-01-17
"327","CDiskCoconut",3,26.9,80.7,2019-01-17
"328","SmudgeBundle",4,53.3,213.2,2019-01-17
"329","LoofahPack",5,12.1,60.5,2019-01-17
"330","Package1",1,52.7,52.7,2019-01-17
"331","BeeswaxCandle",1,27.2,27.2,2019-01-17
"332","PackTeaCandles",2,8,16,2019-01-17
"333","DreamPouch",2,18.8,37.6,2019-01-17
"334","ParisPMirror",3,6.6,19.8,2019-01-17
"335","MilanPMirror",1,5.7,5.7,2019-01-17
"336","LoofahPack",1,29.4,29.4,2019-01-17
"337","Package2",2,34.8,69.6,2019-01-17
"338","Package3",4,34.9,139.6,2019-01-17
"339","Package4",3,24.9,74.7,2019-01-17
"340","Package5",4,24.8,99.2,2019-01-17
"341","DriedBoquet1",1,49.5,49.5,2019-01-18
"342","DriedBoquet2",3,41,123,2019-01-18
"343","EucalyptSmudge",5,15.6,78,2019-01-18
"344","SageSmudge",1,16.3,16.3,2019-01-18
"345","RosePotpourri",1,12,12,2019-01-18
"346","CDiskBamboo",4,29,116,2019-01-18
"347","CDiskCoconut",3,26.9,80.7,2019-01-18
"348","SmudgeBundle",4,53.3,213.2,2019-01-18
"349","LoofahPack",5,12.1,60.5,2019-01-18
"350","Package1",1,52.7,52.7,2019-01-18
"351","BeeswaxCandle",1,27.2,27.2,2019-01-18
"352","PackTeaCandles",2,8,16,2019-01-18
"353","DreamPouch",2,18.8,37.6,2019-01-18
"354","ParisPMirror",3,6.6,19.8,2019-01-18
"355","MilanPMirror",1,5.7,5.7,2019-01-18
"356","LoofahPack",1,29.4,29.4,2019-01-18
"357","Package2",2,34.8,69.6,2019-01-18
"358","Package3",4,34.9,139.6,2019-01-18
"359","Package4",3,24.9,74.7,2019-01-18
"360","Package5",4,24.8,99.2,2019-01-18
"361","DriedBoquet1",1,49.5,49.5,2019-01-19
"362","DriedBoquet2",3,41,123,2019-01-19
"363","EucalyptSmudge",5,15.6,78,2019-01-19
"364","SageSmudge",1,16.3,16.3,2019-01-19
"365","RosePotpourri",1,12,12,2019-01-19
"366","CDiskBamboo",4,29,116,2019-01-19
"367","CDiskCoconut",3,26.9,80.7,2019-01-19
"368","SmudgeBundle",4,53.3,213.2,2019-01-19
"369","LoofahPack",5,12.1,60.5,2019-01-19
"370","Package1",1,52.7,52.7,2019-01-19
"371","BeeswaxCandle",1,27.2,27.2,2019-01-19
"372","PackTeaCandles",2,8,16,2019-01-19
"373","DreamPouch",2,18.8,37.6,2019-01-19
"374","ParisPMirror",3,6.6,19.8,2019-01-19
"375","MilanPMirror",1,5.7,5.7,2019-01-19
"376","LoofahPack",1,29.4,29.4,2019-01-19
"377","Package2",2,34.8,69.6,2019-01-19
"378","Package3",4,34.9,139.6,2019-01-19
"379","Package4",3,24.9,74.7,2019-01-19
"380","Package5",4,24.8,99.2,2019-01-19
"381","DriedBoquet1",1,49.5,49.5,2019-01-20
"382","DriedBoquet2",3,41,123,2019-01-20
"383","EucalyptSmudge",5,15.6,78,2019-01-20
"384","SageSmudge",1,16.3,16.3,2019-01-20
"385","RosePotpourri",1,12,12,2019-01-20
"386","CDiskBamboo",4,29,116,2019-01-20
"387","CDiskCoconut",3,26.9,80.7,2019-01-20
"388","SmudgeBundle",4,53.3,213.2,2019-01-20
"389","LoofahPack",5,12.1,60.5,2019-01-20
"390","Package1",1,52.7,52.7,2019-01-20
"391","BeeswaxCandle",1,27.2,27.2,2019-01-20
"392","PackTeaCandles",2,8,16,2019-01-20
"393","DreamPouch",2,18.8,37.6,2019-01-20
"394","ParisPMirror",3,6.6,19.8,2019-01-20
"395","MilanPMirror",1,5.7,5.7,2019-01-20
"396","LoofahPack",1,29.4,29.4,2019-01-20
"397","Package2",2,34.8,69.6,2019-01-20
"398","Package3",4,34.9,139.6,2019-01-20
"399","Package4",3,24.9,74.7,2019-01-20
"400","Package5",4,24.8,99.2,2019-01-20
"401","DriedBoquet1",1,49.5,49.5,2019-01-21
"402","DriedBoquet2",3,41,123,2019-01-21
"403","EucalyptSmudge",5,15.6,78,2019-01-21
"404","SageSmudge",1,16.3,16.3,2019-01-21
"405","RosePotpourri",1,12,12,2019-01-21
"406","CDiskBamboo",4,29,116,2019-01-21
"407","CDiskCoconut",3,26.9,80.7,2019-01-21
"408","SmudgeBundle",4,53.3,213.2,2019-01-21
"409","LoofahPack",5,12.1,60.5,2019-01-21
"410","Package1",1,52.7,52.7,2019-01-21
"411","BeeswaxCandle",1,27.2,27.2,2019-01-21
"412","PackTeaCandles",2,8,16,2019-01-21
"413","DreamPouch",2,18.8,37.6,2019-01-21
"414","ParisPMirror",3,6.6,19.8,2019-01-21
"415","MilanPMirror",1,5.7,5.7,2019-01-21
"416","LoofahPack",1,29.4,29.4,2019-01-21
"417","Package2",2,34.8,69.6,2019-01-21
"418","Package3",4,34.9,139.6,2019-01-21
"419","Package4",3,24.9,74.7,2019-01-21
"420","Package5",4,24.8,99.2,2019-01-21
"421","DriedBoquet1",1,49.5,49.5,2019-01-22
"422","DriedBoquet2",3,41,123,2019-01-22
"423","EucalyptSmudge",5,15.6,78,2019-01-22
"424","SageSmudge",1,16.3,16.3,2019-01-22
"425","RosePotpourri",1,12,12,2019-01-22
"426","CDiskBamboo",4,29,116,2019-01-22
"427","CDiskCoconut",3,26.9,80.7,2019-01-22
"428","SmudgeBundle",4,53.3,213.2,2019-01-22
"429","LoofahPack",5,12.1,60.5,2019-01-22
"430","Package1",1,52.7,52.7,2019-01-22
"431","BeeswaxCandle",1,27.2,27.2,2019-01-22
"432","PackTeaCandles",2,8,16,2019-01-22
"433","DreamPouch",2,18.8,37.6,2019-01-22
"434","ParisPMirror",3,6.6,19.8,2019-01-22
"435","MilanPMirror",1,5.7,5.7,2019-01-22
"436","LoofahPack",1,29.4,29.4,2019-01-22
"437","Package2",2,34.8,69.6,2019-01-22
"438","Package3",4,34.9,139.6,2019-01-22
"439","Package4",3,24.9,74.7,2019-01-22
"440","Package5",4,24.8,99.2,2019-01-22
"441","DriedBoquet1",1,49.5,49.5,2019-01-23
"442","DriedBoquet2",3,41,123,2019-01-23
"443","EucalyptSmudge",5,15.6,78,2019-01-23
"444","SageSmudge",1,16.3,16.3,2019-01-23
"445","RosePotpourri",1,12,12,2019-01-23
"446","CDiskBamboo",4,29,116,2019-01-23
"447","CDiskCoconut",3,26.9,80.7,2019-01-23
"448","SmudgeBundle",4,53.3,213.2,2019-01-23
"449","LoofahPack",5,12.1,60.5,2019-01-23
"450","Package1",1,52.7,52.7,2019-01-23
"451","BeeswaxCandle",1,27.2,27.2,2019-01-23
"452","PackTeaCandles",2,8,16,2019-01-23
"453","DreamPouch",2,18.8,37.6,2019-01-23
"454","ParisPMirror",3,6.6,19.8,2019-01-23
"455","MilanPMirror",1,5.7,5.7,2019-01-23
"456","LoofahPack",1,29.4,29.4,2019-01-23
"457","Package2",2,34.8,69.6,2019-01-23
"458","Package3",4,34.9,139.6,2019-01-23
"459","Package4",3,24.9,74.7,2019-01-23
"460","Package5",4,24.8,99.2,2019-01-23
"461","DriedBoquet1",1,49.5,49.5,2019-01-24
"462","DriedBoquet2",3,41,123,2019-01-24
"463","EucalyptSmudge",5,15.6,78,2019-01-24
"464","SageSmudge",1,16.3,16.3,2019-01-24
"465","RosePotpourri",1,12,12,2019-01-24
"466","CDiskBamboo",4,29,116,2019-01-24
"467","CDiskCoconut",3,26.9,80.7,2019-01-24
"468","SmudgeBundle",4,53.3,213.2,2019-01-24
"469","LoofahPack",5,12.1,60.5,2019-01-24
"470","Package1",1,52.7,52.7,2019-01-24
"471","BeeswaxCandle",1,27.2,27.2,2019-01-24
"472","PackTeaCandles",2,8,16,2019-01-24
"473","DreamPouch",2,18.8,37.6,2019-01-24
"474","ParisPMirror",3,6.6,19.8,2019-01-24
"475","MilanPMirror",1,5.7,5.7,2019-01-24
"476","LoofahPack",1,29.4,29.4,2019-01-24
"477","Package2",2,34.8,69.6,2019-01-24
"478","Package3",4,34.9,139.6,2019-01-24
"479","Package4",3,24.9,74.7,2019-01-24
"480","Package5",4,24.8,99.2,2019-01-24
"481","DriedBoquet1",1,49.5,49.5,2019-01-25
"482","DriedBoquet2",3,41,123,2019-01-25
"483","EucalyptSmudge",5,15.6,78,2019-01-25
"484","SageSmudge",1,16.3,16.3,2019-01-25
"485","RosePotpourri",1,12,12,2019-01-25
"486","CDiskBamboo",4,29,116,2019-01-25
"487","CDiskCoconut",3,26.9,80.7,2019-01-25
"488","SmudgeBundle",4,53.3,213.2,2019-01-25
"489","LoofahPack",5,12.1,60.5,2019-01-25
"490","Package1",1,52.7,52.7,2019-01-25
"491","BeeswaxCandle",1,27.2,27.2,2019-01-25
"492","PackTeaCandles",2,8,16,2019-01-25
"493","DreamPouch",2,18.8,37.6,2019-01-25
"494","ParisPMirror",3,6.6,19.8,2019-01-25
"495","MilanPMirror",1,5.7,5.7,2019-01-25
"496","LoofahPack",1,29.4,29.4,2019-01-25
"497","Package2",2,34.8,69.6,2019-01-25
"498","Package3",4,34.9,139.6,2019-01-25
"499","Package4",3,24.9,74.7,2019-01-25
"500","Package5",4,24.8,99.2,2019-01-25
"501","DriedBoquet1",1,49.5,49.5,2019-01-26
"502","DriedBoquet2",3,41,123,2019-01-26
"503","EucalyptSmudge",5,15.6,78,2019-01-26
"504","SageSmudge",1,16.3,16.3,2019-01-26
"505","RosePotpourri",1,12,12,2019-01-26
"506","CDiskBamboo",4,29,116,2019-01-26
"507","CDiskCoconut",3,26.9,80.7,2019-01-26
"508","SmudgeBundle",4,53.3,213.2,2019-01-26
"509","LoofahPack",5,12.1,60.5,2019-01-26
"510","Package1",1,52.7,52.7,2019-01-26
"511","BeeswaxCandle",1,27.2,27.2,2019-01-26
"512","PackTeaCandles",2,8,16,2019-01-26
"513","DreamPouch",2,18.8,37.6,2019-01-26
"514","ParisPMirror",3,6.6,19.8,2019-01-26
"515","MilanPMirror",1,5.7,5.7,2019-01-26
"516","LoofahPack",1,29.4,29.4,2019-01-26
"517","Package2",2,34.8,69.6,2019-01-26
"518","Package3",4,34.9,139.6,2019-01-26
"519","Package4",3,24.9,74.7,2019-01-26
"520","Package5",4,24.8,99.2,2019-01-26
"521","DriedBoquet1",1,49.5,49.5,2019-01-27
"522","DriedBoquet2",3,41,123,2019-01-27
"523","EucalyptSmudge",5,15.6,78,2019-01-27
"524","SageSmudge",1,16.3,16.3,2019-01-27
"525","RosePotpourri",1,12,12,2019-01-27
"526","CDiskBamboo",4,29,116,2019-01-27
"527","CDiskCoconut",3,26.9,80.7,2019-01-27
"528","SmudgeBundle",4,53.3,213.2,2019-01-27
